Title,Date,Time, latitude,Longitude,Type
Blue Whale,5-Dec,1.40pm,-62.740173,-52.600989,Past Sighting
Blue Whale,5-Dec,12.22pm,-62.740173,-52.600989,Past Sighting
Blue Whale,2-Dec,3.25pm,-53.992203,-38.545876,Past Sighting
Blue Whale,3-Dec,12.40pm,-60.545607,-120.017631,Past Sighting
Blue Whale,11-Dec,13.15pm,34.129442,-120.017631,Past Sighting
humpback whale,12-Dec,4.20pm,-64.083213,-61.237217,Past Sighting
humpback whale,12-Dec,15:15pm,-64.239427,-61.539341,Past Sighting
humpback whale,12-Dec,1.36pm,21.409818,-105.724979,Past Sighting
humpback whale,12-Dec,2:29pm,21.409818,-105.724979,Past Sighting
humpback whale,14-Dec,1.29pm,-62.724431,-60.521732,Past Sighting
humpback whale,14-Dec,10.40am,-62.724431,-60.521732,Past Sighting
humpback whale,18-Dec,11.05am,"21.611680,",0,Past Sighting
humpback whale,14-Dec,3.45pm,"13.451086,",-89.928699,Past Sighting
humpback whale,15-Dec,4.25pm,-43.559374,147.707983,Past Sighting
humpback whale,15-Dec,4.59pm,-64.497036,-64.497036,Past Sighting
humpback whale,15-Dec,3.41pm,-64.497036,-64.497036,Past Sighting
humpback whale,15-Dec,1.15pm,-64.245924,-62.078357,Past Sighting
humpback whale,15-Dec,10.15am,-64.245924,-62.078357,Past Sighting
humpback whale,15-Dec,4.15pm,-64.245924,-62.078357,Past Sighting
humpback whale,15-Dec,10.50am,-64.245924,-62.078357,Past Sighting
humpback whale,15-Dec,1.45pm,-64.533888,-62.470432,Past Sighting
humpback whale,18-Dec,5.23pm,21.61168,-158.174879,Past Sighting
humpback whale,18-Dec,2.25pm,21.826338,-159.548857,Past Sighting
humpback whale,12-Dec,1.55pm,20.701537,-156.500658,Past Sighting
Fin whale,3-Dec,1.30pm,33.546581,-118.282153,Past Sighting
Fin whale,3-Dec,1.10pm,33.546581,-118.282153,Past Sighting
Fin whale,3-Dec,1.30pm,33.546581,-118.282153,Past Sighting
Fin whale,3-Dec,2:50pm,33.546581,-118.282153,Past Sighting
Fin whale,3-Dec,11.25am,33.546581,-118.282153,Past Sighting
Fin whale,12/13/2021,,-58.071408,-58.071408,
