Title,Date,Time,Longitude, latitude,Type
Blue Whale,5-Dec,1.40pm,-52.600989,-62.740173,Past Sighting
Blue Whale,5-Dec,12.22pm,-52.600989,-62.740173,Past Sighting
Blue Whale,2-Dec,3.25pm,-38.545876,-53.992203,Past Sighting
Blue Whale,3-Dec,12.40pm,-120.017631,-60.545607,Past Sighting
Blue Whale,11-Dec,13.15pm,-120.017631,34.129442,Past Sighting
humpback whale,12-Dec,4.20pm,-61.237217,-64.083213,Past Sighting
humpback whale,12-Dec,15:15pm,-61.539341,-64.239427,Past Sighting
humpback whale,12-Dec,1.36pm,-105.724979,21.409818,Past Sighting
humpback whale,12-Dec,2:29pm,-105.724979,21.409818,Past Sighting
humpback whale,14-Dec,1.29pm,-60.521732,-62.724431,Past Sighting
humpback whale,14-Dec,10.40am,-60.521732,-62.724431,Past Sighting
humpback whale,18-Dec,11.05am,-158.174879,"21.611680,",Past Sighting
humpback whale,14-Dec,3.45pm,-89.928699,"13.451086,",Past Sighting
humpback whale,15-Dec,4.25pm,147.707983,-43.559374,Past Sighting
humpback whale,15-Dec,4.59pm,-64.497036,-64.497036,Past Sighting
humpback whale,15-Dec,3.41pm,-64.497036,-64.497036,Past Sighting
humpback whale,15-Dec,1.15pm,-62.078357,-64.245924,Past Sighting
humpback whale,15-Dec,10.15am,-62.078357,-64.245924,Past Sighting
humpback whale,15-Dec,4.15pm,-62.078357,-64.245924,Past Sighting
humpback whale,15-Dec,10.50am,-62.078357,-64.245924,Past Sighting
humpback whale,15-Dec,1.45pm,-62.470432,-64.533888,Past Sighting
humpback whale,18-Dec,5.23pm,-158.174879,21.61168,Past Sighting
humpback whale,18-Dec,2.25pm,-159.548857,21.826338,Past Sighting
humpback whale,12-Dec,1.55pm,-156.500658,20.701537,Past Sighting
Fin whale,3-Dec,1.30pm,-118.282153,33.546581,Past Sighting
Fin whale,3-Dec,1.10pm,-118.282153,33.546581,Past Sighting
Fin whale,3-Dec,1.30pm,-118.282153,33.546581,Past Sighting
Fin whale,3-Dec,2:50pm,-118.282153,33.546581,Past Sighting
Fin whale,3-Dec,11.25am,-118.282153,33.546581,Past Sighting
Fin whale,12/13/2021,,-58.071408,-58.071408,
